,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
24,Rafael Addison,10,379,5.8,0.9,2.1,44.9,28.2,77.2,10.5,4.9
25,Bam Adebayo,4,343,13.5,3.5,8.3,55.8,14.0,74.1,20.0,35.4
26,Deng Adel,0,19,1.7,0.3,1.0,30.6,26.1,100.0,2.7,-0.2
27,Rick Adelman,6,462,7.7,3.5,2.4,41.5,-1,71.3,11.3,10.0
28,Jeff Adrien,4,153,4.6,0.7,4.3,47.4,0.0,62.8,15.0,4.4
29,Arron Afflalo,10,762,10.8,1.8,2.9,45.0,38.6,82.5,11.9,33.5
30,Maurice Ager,4,82,2.1,0.2,0.6,33.9,25.0,56.6,2.8,-0.9
31,Mark Aguirre,12,923,20.0,3.1,5.0,48.4,31.2,74.1,19.0,67.8
32,Blake Ahearn,4,19,4.6,1.2,1.2,27.3,29.8,97.0,7.2,-0.2
33,Danny Ainge,13,1042,11.5,4.0,2.7,46.9,37.8,84.6,14.7,71.5
34,Matthew Aitch,0,45,5.6,0.4,3.6,40.5,0.0,67.5,11.9,0.5
35,Alexis Ajinça,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,Henry Akin,2,88,3.5,0.5,2.1,35.0,0.0,67.6,7.4,-1.2
37,Josh Akognon,0,3,1.7,0.3,0.3,50.0,50.0,-,15.3,0.0
38,DeVaughn Akoon-Purcell,0,7,1.0,0.9,0.6,30.0,0.0,50.0,8.2,0.0
39,Solomon Alabi,1,26,1.5,0.2,2.3,31.4,-,70.0,10.3,0.0
40,Mark Alarie,4,325,7.5,1.1,3.4,47.5,25.2,77.5,13.0,8.4
41,Gary Alcorn,1,78,3.3,0.3,4.2,29.3,-1,59.8,6.5,-1.3
42,Santi Aldama,0,32,4.1,0.7,2.7,40.2,12.5,62.5,10.2,0.3
43,Furkan Aldemir,0,41,2.3,0.7,4.3,51.3,0.0,48.1,12.0,1.4
44,Cole Aldrich,7,339,3.1,0.5,3.3,52.7,-,73.8,16.6,9.6
45,LaMarcus Aldridge,15,1076,19.1,1.9,8.1,49.3,32.0,81.3,20.7,115.7
46,Chuck Aleksinas,0,74,5.1,0.5,3.6,47.8,0.0,73.3,9.1,0.4
47,Cliff Alexander,0,8,1.3,0.0,0.8,50.0,-,-,11.6,0.0
48,Cory Alexander,9,307,5.5,2.7,1.6,38.9,35.4,75.6,12.4,3.0
49,Courtney Alexander,2,307,5.5,2.7,1.6,38.9,35.4,75.6,12.4,3.0
50,Gary Alexander,0,11,1.7,0.2,1.4,57.1,-,33.3,8.6,0.0
51,Joe Alexander,1,67,4.2,0.7,1.8,41.0,34.0,69.8,9.9,0.5
52,Kyle Alexander,0,2,1.0,0.0,1.5,50.0,-,-,4.7,0.0
53,Ty-Shon Alexander,0,15,0.6,0.4,0.7,25.0,22.2,50.0,4.2,0.0
54,Victor Alexander,10,286,8.9,0.9,4.8,51.8,28.6,63.4,13.7,8.8
55,Nickeil Alexander-Walker,2,158,9.3,2.2,2.6,38.7,32.9,72.6,10.9,0.6
56,Steve Alford,3,169,4.4,1.0,0.9,45.9,32.4,87.0,14.4,3.2
57,Rawle Alkins,0,10,3.7,1.3,2.6,33.3,25.0,66.7,8.1,-0.1
58,Bill Allen,0,38,7.9,0.6,7.1,42.9,100.0,58.6,11.9,0.6
59,Bob Allen,0,27,1.8,0.4,2.1,32.6,-1,55.6,6.8,0.1
60,Grayson Allen,3,192,9.4,1.5,2.6,43.3,39.3,84.1,12.1,8.1
61,Jarrett Allen,4,341,11.6,1.4,8.7,62.6,18.9,69.9,20.0,34.9
62,Jerome Allen,1,117,2.9,1.7,1.1,35.0,31.7,63.0,8.5,0.2
63,Kadeem Allen,2,47,5.5,2.3,1.5,43.5,34.9,75.7,13.5,1.0
64,Lavoy Allen,5,388,4.8,1.0,4.8,47.1,13.3,68.2,12.5,13.8
65,Lucius Allen,9,702,13.4,4.5,3.1,46.3,-1,76.0,15.5,42.0
66,Malik Allen,9,478,4.9,0.5,2.8,43.9,18.8,77.8,9.9,6.6
67,Randy Allen,1,70,3.6,0.3,2.1,44.2,0.0,53.3,8.3,0.2
68,Ray Allen,17,70,3.6,0.3,2.1,44.2,0.0,53.3,8.3,0.2
69,Tony Allen,13,820,8.1,1.3,3.5,47.5,28.2,70.9,14.2,38.7
70,Willie Allen,0,7,1.9,0.6,2.0,30.8,-,83.3,5.7,0.0
71,Odis Allison,0,36,1.9,0.3,1.3,21.8,-1,54.1,4.7,-0.6
72,Lance Allred,0,3,1.0,0.0,0.3,25.0,-,50.0,-1.0,0.0
73,Darrell Allums,0,22,2.7,1.1,3.0,34.3,0.0,59.1,5.3,-0.3
