,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
2364,George Karl,4,264,6.5,3.0,1.4,46.5,22.2,78.0,13.2,7.7
2365,Ed Kasid,0,8,1.5,0.8,-,28.6,-1,0.0,-,0.0
2366,Mario Kasun,1,73,2.7,0.2,2.6,46.7,0.0,63.6,10.8,0.8
2367,Leo Katkaveck,1,107,4.3,1.3,-,31.7,-1,68.5,-,1.9
2368,Bob Kauffman,6,525,11.5,2.7,7.0,47.7,-1,74.9,16.8,31.5
2369,Sasha Kaun,0,25,0.9,0.1,1.0,52.9,-,45.5,12.5,0.2
2370,Wilbert Kautz,0,50,5.1,0.7,-,25.5,-1,53.4,-,0.8
2371,Clarence Kea,1,51,3.9,0.4,2.5,48.5,0.0,69.2,13.8,1.0
2372,Mike Kearns,0,6,0.2,0.8,0.5,0.0,-1,25.0,1.0,-0.1
2373,Tommy Kearns,0,1,2.0,0.0,0.0,100.0,-1,-,8.8,0.0
2374,Adam Keefe,8,617,5.0,0.7,4.1,50.2,7.1,71.4,12.9,24.9
2375,Harold Keeling,0,20,2.2,0.5,0.3,43.6,-,71.4,16.1,0.1
2376,Bill Keller,6,556,11.8,3.6,2.4,42.5,33.8,87.2,15.0,30.1
2377,Gary Keller,1,122,6.0,0.4,4.5,38.8,0.0,63.2,12.6,3.5
2378,Ken Keller,0,28,0.8,0.0,-,33.3,-1,40.0,-,0.4
2379,Rich Kelley,10,814,7.6,2.6,7.0,48.8,0.0,78.3,15.0,42.5
2380,Clark Kellogg,4,260,18.9,2.9,9.5,49.7,33.8,75.7,19.3,20.9
2381,Arvesta Kelly,4,188,8.0,1.8,2.6,44.5,25.3,63.7,9.9,5.6
2382,Jerry Kelly,1,46,5.7,0.5,-,29.1,-1,66.1,-,2.4
2383,Ryan Kelly,3,163,6.0,1.3,3.1,37.8,31.6,79.7,10.5,3.0
2384,Tom Kelly,0,27,7.1,1.4,-,33.5,-1,61.6,-,1.4
2385,Greg Kelser,5,305,9.7,1.3,4.6,48.6,16.7,68.6,14.2,8.6
2386,Ben Kelso,0,46,1.8,0.4,0.7,36.5,-1,68.2,6.8,0.0
2387,Shawn Kemp,13,1051,14.6,1.6,8.4,48.8,27.7,74.1,19.1,89.5
2388,Tim Kempton,11,280,4.5,1.1,2.8,48.1,0.0,67.7,9.8,3.3
2389,Frank Kendrick,0,24,3.3,0.3,1.5,40.3,-1,81.8,20.3,0.3
2390,Luke Kennard,4,297,10.0,2.0,2.9,44.9,42.5,86.9,12.8,14.2
2391,D.J. Kennedy,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2392,Goo Kennedy,5,333,8.2,0.9,5.6,54.8,100.0,67.0,15.2,20.2
2393,Joe Kennedy,2,168,5.7,0.8,3.6,37.6,0.0,80.4,9.3,0.2
2394,Pickles Kennedy,0,7,1.7,1.3,1.1,19.0,-1,66.7,3.8,-0.1
2395,Larry Kenon,9,752,17.2,2.2,8.9,48.7,14.3,78.4,17.0,58.5
2396,Billy Kenville,6,345,7.1,2.1,3.5,36.3,-1,75.8,13.7,13.7
2397,Jonathan Kerner,0,1,0.0,0.0,0.0,0.0,-,-,-15.2,0.0
2398,Red Kerr,11,905,13.8,2.2,11.2,41.8,-1,72.3,16.8,61.8
2399,Steve Kerr,14,910,6.0,1.8,1.2,47.9,45.4,86.4,13.1,47.2
2400,Jack Kerris,3,271,7.6,2.5,6.3,36.3,-1,66.2,14.7,17.8
2401,Jerome Kersey,16,1153,10.3,1.9,5.5,46.5,20.1,69.0,14.9,69.5
2402,Tom Kerwin,0,13,1.1,0.1,1.5,31.8,-,0.0,5.3,-0.1
2403,Alec Kessler,3,210,5.2,0.4,3.6,42.6,41.7,74.4,9.6,2.0
2404,Lari Ketner,1,25,1.4,0.1,1.4,40.6,-,66.7,6.2,0.0
2405,Braxton Key,0,11,7.2,1.0,4.5,45.8,28.6,53.8,13.7,0.2
2406,Julius Keye,5,418,7.6,1.6,11.0,41.8,18.2,62.3,10.8,17.8
2407,Randolph Keys,7,241,5.2,0.8,2.3,42.5,27.2,72.1,10.3,2.3
2408,Viktor Khryapa,3,143,4.5,1.0,3.4,44.3,29.2,65.8,10.7,2.0
2409,Jason Kidd,18,1391,12.6,8.7,6.3,40.0,34.9,78.5,17.9,138.6
2410,Stanton Kidd,0,4,0.0,0.3,0.8,0.0,0.0,-,-13.7,-0.1
2411,Warren Kidd,0,68,3.6,0.3,3.4,59.2,-,54.7,11.3,1.4
2412,Michael Kidd-Gilchrist,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
2413,Irv Kiffin,0,26,3.2,0.7,1.5,33.3,-,72.0,3.7,-0.6
2414,Jack Kiley,1,53,2.3,1.2,1.0,22.7,-1,57.1,3.5,-1.8
2415,Earnie Killum,0,4,0.3,0.0,0.5,0.0,-1,100.0,-5.3,-0.1
2416,Carl Kilpatrick,0,2,1.5,0.0,2.0,50.0,-,50.0,22.7,0.0
2417,Sean Kilpatrick,3,157,10.3,1.5,2.7,41.3,33.5,86.2,13.2,2.6
2418,Toby Kimball,8,571,6.1,1.0,6.8,42.5,-1,57.3,12.1,14.2
2419,Bo Kimble,2,105,5.5,0.9,1.5,38.6,29.1,72.8,8.1,0.1
2420,Stan Kimbrough,3,13,1.6,0.5,0.5,40.9,50.0,100.0,11.2,0.1
2421,Chad Kinch,0,41,2.9,1.1,0.8,36.9,-,77.8,7.0,-0.5
2422,Albert King,10,534,12.1,2.2,4.2,46.1,26.8,79.1,13.1,16.3
2423,Bernard King,15,874,22.5,3.3,5.8,51.8,17.2,73.0,19.2,75.4
2424,Chris King,5,103,6.7,1.1,3.0,42.3,38.3,63.3,10.6,1.0
2425,Dan King,0,12,1.6,0.3,2.1,31.8,-1,50.0,-,-
2426,Frankie King,1,13,2.1,0.5,1.2,35.7,33.3,75.0,11.4,0.0
2427,George King,6,411,10.3,4.8,3.9,38.2,-1,64.2,14.2,31.4
2428,George King,3,411,10.3,4.8,3.9,38.2,-1,64.2,14.2,31.4
2429,Gerard King,2,411,10.3,4.8,3.9,38.2,-1,64.2,14.2,31.4
2430,Jim King,9,607,7.2,2.3,2.5,41.8,-1,78.2,11.8,17.7
2431,Jimmy King,1,607,7.2,2.3,2.5,41.8,-1,78.2,11.8,17.7
2432,Louis King,2,84,6.0,1.4,1.5,36.5,23.3,81.1,7.6,0.1
2433,Loyd King,1,84,6.0,1.4,1.5,36.5,23.3,81.1,7.6,0.1
2434,Maurice King,3,38,5.9,3.8,2.8,39.8,-1,80.0,8.5,0.0
2435,Reggie King,5,438,8.9,1.6,6.2,51.4,0.0,69.9,13.1,24.8
2436,Rich King,3,72,1.9,0.3,1.0,39.3,0.0,66.2,10.2,0.2
2437,Ron King,0,9,7.1,1.6,2.1,34.3,33.3,82.4,13.1,0.2
2438,Stacey King,7,438,6.4,0.9,3.3,47.8,23.5,70.7,11.9,10.9
2439,Tom King,0,58,5.1,0.6,-,23.7,-1,63.1,-,2.6
2440,Bob Kinney,1,118,9.5,1.5,-,35.3,-1,60.8,-,8.4
2441,Tarence Kinsey,2,109,4.7,0.5,1.3,45.3,32.4,81.7,12.4,1.6
2442,Andrei Kirilenko,13,797,11.8,2.7,5.5,47.4,31.0,75.4,18.7,75.4
2443,Alex Kirk,0,5,0.8,0.2,0.2,25.0,-,100.0,8.5,0.0
2444,Walt Kirk,3,118,7.7,2.1,4.0,30.5,-1,71.8,9.8,7.7
2445,Wilbur Kirkland,0,2,3.0,0.5,5.5,42.9,-,-,6.6,0.0
2446,Corey Kispert,0,77,8.2,1.1,2.7,45.5,35.0,87.1,10.9,2.3
2447,Jim Kissane,0,2,3.0,0.0,1.5,33.3,-,100.0,5.9,0.0
2448,Doug Kistler,0,5,1.6,0.0,0.2,50.0,-1,50.0,12.2,0.0
2449,Curtis Kitchen,0,6,1.5,0.2,1.5,50.0,0.0,75.0,18.5,0.1
2450,Greg Kite,11,680,2.5,0.5,3.8,43.8,16.7,48.6,6.5,5.6
2451,Kerry Kittles,8,507,14.1,2.6,3.9,43.9,37.8,78.0,16.0,44.8
2452,Maxi Kleber,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
2453,Joe Kleine,14,965,4.8,0.6,4.1,45.3,27.1,79.4,10.5,19.1
2454,Linas Kleiza,7,409,8.7,0.8,3.6,43.5,33.5,76.3,12.4,13.6
2455,Leo Klier,1,113,7.1,1.6,-,28.0,-1,72.8,-,2.6
2456,Herm Klotz,0,11,1.4,0.6,-,22.6,-1,33.3,-,-0.1
2457,Duane Klueh,1,113,8.2,1.5,3.0,36.2,-1,71.9,-,6.0
2458,Lonnie Kluttz,0,3,0.0,0.0,1.7,0.0,-,-,-8.8,-0.1
2459,Billy Knight,10,821,16.9,2.3,5.3,50.7,28.4,82.7,18.2,63.9
2460,Bob Knight,0,2,3.5,4.0,0.5,42.9,-1,100.0,12.2,0.1
2461,Brandin Knight,0,729,7.3,6.1,2.4,41.2,13.4,78.9,14.9,32.6
2462,Brandon Knight,10,729,7.3,6.1,2.4,41.2,13.4,78.9,14.9,32.6
2463,Brevin Knight,11,729,7.3,6.1,2.4,41.2,13.4,78.9,14.9,32.6
2464,Nathan Knight,1,70,3.7,0.4,2.2,43.6,21.7,76.5,16.2,1.4
2465,Negele Knight,8,276,6.2,2.8,1.3,43.6,26.3,73.0,11.3,4.2
2466,Ron Knight,1,101,4.7,0.8,2.8,43.3,-1,50.0,10.8,0.2
2467,Toby Knight,4,283,12.9,1.2,5.1,51.9,0.0,74.0,15.1,15.7
2468,Travis Knight,6,371,3.4,0.6,3.1,43.8,25.9,69.6,11.4,7.9
2469,Lee Knorek,3,131,6.7,1.6,-,30.3,-1,63.7,-,9.3
2470,Dick Knostman,0,5,2.6,1.2,3.4,30.0,-1,63.6,17.6,0.2
2471,Rod Knowles,0,9,1.0,0.0,1.0,28.6,-,33.3,-0.6,-0.1
2472,Kevin Knox,3,212,7.7,0.8,2.9,36.9,34.0,70.5,8.8,-0.3
2473,Bart Kofoed,5,111,1.5,1.0,0.5,38.7,18.8,61.4,5.8,0.0
2474,Don Kojis,11,814,12.2,1.4,5.6,44.6,-1,72.0,14.9,35.8
2475,Milo Komenich,0,64,9.9,1.9,-,28.3,-1,58.4,-,1.4
2476,Howard Komives,9,742,10.2,4.0,2.4,38.8,-1,83.0,10.7,5.0
2477,Jon Koncak,10,784,4.5,1.0,4.9,47.0,22.6,59.7,9.8,29.2
2478,John Konchar,2,134,4.4,1.3,3.8,52.2,40.6,65.4,14.6,6.6
2479,Tom Kondla,0,42,3.3,0.3,3.0,40.0,0.0,47.8,11.5,0.0
2480,Bud Koper,0,54,4.6,0.8,1.1,44.0,-1,83.3,10.6,1.0
2481,Joe Kopicki,2,118,3.7,0.7,2.7,49.3,27.3,81.2,14.2,3.5
2482,Furkan Korkmaz,4,256,7.9,1.3,2.2,40.5,35.5,76.9,11.4,7.1
2483,Frank Kornet,1,89,1.9,0.3,1.1,36.9,26.3,59.6,6.2,0.0
2484,Luke Kornet,4,148,5.5,1.0,2.6,40.8,32.4,75.3,13.9,4.0
2485,Yaroslav Korolev,1,34,1.1,0.4,0.5,28.3,25.0,62.5,5.6,-0.1
2486,Kyle Korver,16,1232,9.7,1.7,3.0,44.2,42.9,87.7,12.8,73.4
2487,Tony Koski,0,5,1.2,0.8,1.4,28.6,-,100.0,4.9,0.0
2488,Len Kosmalski,1,76,1.4,0.7,1.9,39.8,-1,77.8,10.4,0.6
2489,Andy Kostecka,0,21,6.4,0.7,-,41.8,-1,61.4,-,1.7
2490,Harold Kottman,0,53,3.1,0.3,-,31.4,-1,46.5,-,1.6
2491,Kosta Koufos,10,686,5.7,0.5,5.0,53.4,0.0,58.2,15.4,28.3
2492,Tom Kozelko,2,189,2.2,0.5,1.8,41.9,-1,74.5,7.8,2.4
2493,Ronald Kozlicki,0,37,2.9,0.4,1.9,33.9,20.7,61.8,7.4,-0.1
2494,Arvid Kramer,0,8,2.0,0.4,1.5,31.8,-,100.0,6.6,-0.1
2495,Barry Kramer,5,59,3.6,0.7,1.9,33.6,0.0,72.8,9.3,0.1
2496,Joel Kramer,4,328,3.8,1.0,2.8,47.9,0.0,73.7,10.8,9.1
2497,Steven Kramer,2,124,8.5,1.9,2.5,42.9,12.5,78.0,12.5,4.3
2498,Dan Kraus,0,13,1.6,0.5,-,14.3,-1,45.8,-,-0.3
2499,Herb Krautblatt,0,10,1.3,0.4,-,22.2,-1,45.5,-,-0.1
2500,Viacheslav Kravtsov,1,45,2.2,0.2,1.4,67.2,-,33.3,13.6,0.4
2501,Jim Krebs,6,515,8.0,0.8,6.2,40.5,-1,75.5,11.5,12.4
2502,Vit Krejci,0,30,6.2,1.9,3.4,40.7,32.7,86.4,8.5,0.6
2503,Wayne Kreklow,0,25,1.2,0.4,0.5,23.4,25.0,70.0,-1.9,-0.3
2504,Tommy Kron,3,224,6.0,2.7,3.0,38.7,36.8,76.8,11.4,2.6
2505,Tom Kropp,1,78,2.5,0.6,0.8,44.0,-1,70.2,9.9,0.5
2506,Nenad Krstić,6,419,10.0,0.8,5.4,49.4,14.3,73.0,13.6,21.5
2507,Larry Krystkowiak,10,420,8.2,1.2,4.9,45.7,13.9,79.5,12.0,15.6
2508,Steve Kuberski,8,568,5.5,0.6,3.8,41.7,-1,76.7,11.4,11.4
2509,Leo Kubiak,0,62,11.5,3.2,-,32.6,-1,81.4,-,0.5
2510,Bruce Kuczenski,0,15,1.9,0.5,1.5,27.0,-,66.7,-0.5,-0.4
2511,Frank Kudelka,3,228,7.2,2.1,3.2,33.1,-1,70.8,12.9,4.1
2512,John Kuester,2,135,3.3,2.3,1.0,42.7,0.0,83.3,11.4,2.0
2513,Ray Kuka,1,52,4.9,0.7,-,32.0,-1,59.1,-,3.2
2514,Toni Kukoč,12,-1,-1,-1,-1,-1,-1,-1,-1,-1
2515,Arnoldas Kulboka,0,2,0.0,0.0,0.0,0.0,0.0,-,-10.7,0.0
2516,Jonathan Kuminga,0,70,9.3,0.9,3.3,51.3,33.6,68.4,15.2,3.0
2517,Kevin Kunnert,8,555,8.3,1.4,7.3,47.6,-,68.2,14.6,22.0
2518,Terry Kunze,0,46,5.0,1.0,1.6,33.9,45.5,57.8,5.1,0.6
2519,Mitch Kupchak,9,510,10.2,0.7,5.4,52.3,0.0,70.4,16.2,27.1
2520,C.J. Kupec,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
2521,Rodions Kurucs,2,131,6.0,0.9,3.1,44.4,32.9,73.9,10.0,2.3
2522,Rob Kurz,0,40,3.9,0.5,2.0,38.9,39.5,80.0,11.8,0.7
2523,Ibo Kutluay,0,5,0.0,0.0,0.2,0.0,-,-,-12.9,-0.1
2524,Kyle Kuzma,4,342,15.6,2.2,6.2,44.9,33.9,72.3,13.8,14.2
2525,Ognjen Kuzmić,1,37,0.9,0.2,1.0,52.0,-,60.0,7.6,0.2
2526,Mindaugas Kuzminskas,1,69,6.2,1.0,1.8,42.6,32.1,80.9,12.3,1.1
2527,Fred LaCour,2,144,6.5,1.9,3.3,42.1,-1,77.4,11.9,3.4
2528,Raef LaFrentz,9,563,10.1,1.1,6.1,46.6,36.3,71.1,16.1,39.4
2529,Tom LaGarde,7,312,7.6,1.5,5.1,46.2,0.0,64.0,11.5,6.5
2530,Rusty LaRue,6,98,5.0,1.6,1.3,37.6,31.8,84.1,8.9,0.5
2531,Rudy LaRusso,9,736,15.6,2.1,9.4,43.1,-1,76.7,15.5,61.4
2532,Zach LaVine,7,478,19.8,3.9,3.9,46.1,38.6,83.0,17.1,23.7
2533,Skal Labissière,3,148,7.2,1.0,4.5,49.2,35.3,74.8,15.0,4.4
2534,Reggie Lacefield,0,8,3.0,0.0,1.4,50.0,0.0,50.0,12.8,0.1
2535,Edgar Lacey,0,46,5.1,0.7,3.9,44.7,0.0,56.7,10.5,0.5
2536,Sam Lacey,12,1002,10.3,3.7,9.7,44.1,18.8,73.8,14.2,50.9
2537,Bob Lackey,1,71,5.8,1.9,2.3,43.1,40.0,59.3,7.3,-0.1
2538,Wendell Ladner,4,300,11.6,2.1,8.3,38.6,25.2,71.2,12.5,3.6
2539,Christian Laettner,12,868,12.8,2.6,6.7,48.0,26.1,82.0,16.9,64.9
2540,Oliver Lafayette,0,1,7.0,2.0,4.0,50.0,50.0,-,12.8,0.0
2541,Bill Laimbeer,13,1068,12.9,2.0,9.7,49.8,32.6,83.7,16.1,105.6
2542,Pete Lalich,0,1,0.0,0.0,-,0.0,-1,-,-,0.0
2543,Bo Lamar,3,273,16.4,3.9,2.7,41.1,26.7,76.8,14.6,5.4
2544,Anthony Lamb,1,26,5.1,1.0,2.7,38.3,31.5,85.7,8.5,0.2
2545,Doron Lamb,1,100,3.5,0.8,1.0,38.1,39.4,70.0,6.3,0.1
2546,Jeremy Lamb,9,573,10.1,1.6,3.6,43.9,34.2,85.7,15.6,26.8
2547,John Lambert,6,446,3.8,0.6,3.3,42.8,8.3,69.3,10.4,6.9
2548,Jeff Lamp,7,291,5.1,0.9,1.5,47.0,22.2,84.1,11.5,5.2
2549,Maciej Lampe,2,64,3.4,0.3,2.2,40.7,25.0,67.6,8.5,-0.2
2550,Jim Lampley,0,1,3.0,0.0,5.0,33.3,-,50.0,8.3,0.0
2551,Sean Lampley,1,45,4.5,0.7,2.1,46.3,0.0,69.1,13.5,1.1
2552,Jock Landale,0,54,4.9,0.8,2.6,49.5,32.6,82.9,16.0,1.5
2553,Carl Landry,8,513,10.8,0.7,4.9,53.5,30.0,78.5,17.5,35.9
2554,Marcus Landry,0,18,2.4,0.0,1.1,37.2,32.1,60.0,7.2,-0.1
2555,Mark Landsberger,6,437,5.6,0.5,6.1,48.1,0.0,52.2,12.8,12.2
2556,Jerome Lane,4,218,5.3,1.5,5.8,44.1,6.3,37.9,12.6,2.3
2557,Andrew Lang,11,737,6.0,0.6,4.8,47.0,25.0,74.4,11.7,28.6
2558,Antonio Lang,5,737,6.0,0.6,4.8,47.0,25.0,74.4,11.7,28.6
2559,James Lang,0,11,1.0,0.2,1.0,44.4,-,60.0,6.6,0.1
2560,Trajan Langdon,2,119,5.4,1.3,1.3,41.6,39.6,91.0,12.2,2.9
2561,Keith Langford,0,2,1.0,0.0,1.0,25.0,-,-,-2.4,0.0
2562,Romeo Langford,2,98,3.6,0.5,1.9,40.0,30.0,63.3,7.4,1.5
2563,Dan Langhi,3,133,3.0,0.3,1.5,39.1,28.9,61.3,8.8,0.3
2564,Bob Lanier,13,959,20.1,3.1,10.1,51.4,15.4,76.7,21.7,117.1
2565,Stu Lantz,7,547,12.4,2.9,3.3,43.5,-1,81.4,13.4,32.5
2566,Nicolás Laprovíttola,0,18,3.3,1.6,0.6,42.6,37.0,100.0,8.4,0.2
2567,York Larese,0,59,5.1,1.6,1.3,37.3,-1,80.6,9.3,0.3
2568,Shane Larkin,4,256,5.5,2.9,1.9,42.2,33.6,77.7,11.4,4.4
2569,John Laskowski,1,118,7.1,0.8,2.4,39.8,-1,76.0,10.9,2.0
2570,Stéphane Lasme,0,16,5.2,0.2,3.3,45.1,-,59.4,11.7,0.3
2571,Dave Lattin,5,263,7.2,0.7,5.1,47.7,0.0,63.1,13.6,6.3
2572,Priest Lauderdale,1,74,3.4,0.4,1.9,47.2,0.0,55.4,11.3,-0.8
2573,Rich Laurel,0,10,2.4,0.3,1.0,32.3,-1,100.0,7.5,0.0
2574,Harry Laurie,0,9,1.4,0.9,1.7,25.0,-,63.6,0.6,0.0
2575,Walt Lautenbach,0,55,4.3,1.3,-,30.1,-1,69.1,-,-1.3
2576,Joffrey Lauvergne,3,208,5.6,0.9,3.8,47.9,28.5,71.9,14.3,5.2
2577,Tony Lavelli,1,86,6.9,0.7,2.0,36.7,-1,85.3,-,4.7
2578,Bob Lavoy,3,264,8.2,1.5,6.2,38.4,-1,70.7,15.1,15.9
2579,Acie Law,3,188,3.9,1.6,1.0,41.3,23.5,77.8,9.9,1.6
2580,Vic Law,0,8,1.9,0.4,1.4,33.3,14.3,33.3,3.7,-0.1
2581,Gani Lawal,0,1,0.0,0.0,0.0,-,-,-,-9.1,0.0
2582,Edmund Lawrence,0,3,4.0,0.3,1.3,62.5,-,50.0,19.4,0.1
2583,Jason Lawson,0,17,1.5,0.3,1.6,60.0,-,80.0,21.5,0.5
2584,Ty Lawson,7,551,12.7,6.0,2.7,46.0,35.9,77.0,17.2,42.1
2585,Jake Layman,5,243,4.8,0.5,1.7,46.0,30.0,71.9,11.1,3.8
2586,Mo Layton,6,267,6.9,2.6,1.3,44.8,-,74.9,11.8,4.4
2587,Caris LeVert,5,318,14.6,4.0,3.8,43.7,33.3,73.7,15.1,11.9
2588,T.J. Leaf,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
2589,Manny Leaks,5,446,11.9,1.1,9.0,44.0,0.0,70.7,15.0,14.4
2590,Hal Lear,0,3,1.3,0.3,0.3,33.3,-1,-,1.1,0.0
2591,Allen Leavell,9,700,9.5,4.8,1.7,45.0,23.4,83.4,14.7,29.9
2592,Jeff Lebo,0,4,1.5,0.8,1.0,28.6,-,100.0,5.8,0.0
2593,Eric Leckner,8,449,4.1,0.5,3.2,50.8,0.0,66.9,9.8,6.2
2594,Jalen Lecque,1,9,1.7,0.4,0.8,26.3,0.0,100.0,3.2,-0.1
2595,Ricky Ledo,1,28,3.9,0.8,1.4,33.6,37.1,76.9,7.0,-0.6
2596,Butch Lee,1,96,8.1,3.2,1.4,45.0,-,76.1,13.5,2.4
2597,Clyde Lee,9,742,7.7,1.1,10.3,43.2,-1,61.4,11.9,33.5
2598,Courtney Lee,11,811,9.6,1.7,2.6,45.1,38.8,85.3,12.2,39.3
2599,Damion Lee,4,58,6.4,0.3,3.2,44.2,33.3,85.7,17.3,1.9
2600,David Lee,1,58,6.4,0.3,3.2,44.2,33.3,85.7,17.3,1.9
2601,David Lee,11,58,6.4,0.3,3.2,44.2,33.3,85.7,17.3,1.9
2602,Dick Lee,0,2,0.0,0.5,0.5,-,-,-,30.7,0.0
2603,Doug Lee,3,73,2.3,0.4,0.6,41.2,31.0,70.0,11.0,0.7
2604,George Lee,7,297,7.5,0.9,4.2,37.9,-1,73.4,12.1,6.6
2605,Greg Lee,1,10,2.4,2.4,0.5,52.6,-,100.0,11.9,0.1
2606,Keith Lee,3,182,6.1,1.0,4.7,45.1,16.7,74.6,12.2,3.7
2607,Kurk Lee,0,48,1.4,0.7,0.6,26.8,20.0,89.3,5.6,-0.1
2608,Malcolm Lee,3,36,3.9,1.4,1.8,38.2,29.4,70.3,9.5,0.4
2609,Rock Lee,0,448,7.3,3.8,2.7,41.6,32.1,70.5,12.4,10.7
2610,Ron Lee,5,448,7.3,3.8,2.7,41.6,32.1,70.5,12.4,10.7
2611,Russ Lee,2,97,2.9,0.7,1.2,39.1,-1,68.5,14.0,0.5
2612,Saben Lee,1,85,5.6,3.3,2.2,43.4,26.5,73.1,13.8,2.4
2613,Ed Leede,1,121,7.8,1.9,2.1,33.4,-1,71.9,-,5.8
2614,Hank Lefkowitz,0,24,2.1,0.2,-,19.3,-1,53.8,-,-0.8
2615,Tim Legler,10,310,7.0,1.3,1.6,44.7,43.1,84.0,13.6,12.1
2616,George Lehmann,6,376,11.9,4.5,1.6,41.8,36.5,84.1,12.8,18.6
2617,Barry Leibowitz,0,82,10.9,3.7,2.1,36.7,15.4,80.5,9.5,1.5
2618,Walt Lemon Jr.,1,11,9.4,3.2,2.6,43.7,50.0,71.4,14.7,0.0
2619,Alex Len,8,570,7.7,0.9,5.9,50.7,32.9,68.3,15.2,21.6
2620,Voshon Lenard,10,565,11.9,2.1,2.8,41.5,38.4,78.7,13.8,29.6
2621,Leary Lentz,1,148,8.0,0.8,6.2,40.5,0.0,66.0,12.0,3.4
2622,Gary Leonard,2,31,1.4,0.1,1.1,45.9,0.0,50.0,8.6,0.1
2623,Kawhi Leonard,9,576,19.2,2.9,6.4,49.3,38.4,85.8,23.4,83.3
2624,Meyers Leonard,8,447,5.6,0.9,3.9,48.2,39.0,80.9,12.0,15.5
2625,Slick Leonard,6,426,9.9,3.3,2.9,34.9,-1,74.5,10.3,3.8
2626,Jim Les,6,321,3.8,2.9,1.2,39.7,39.6,81.8,12.4,8.1
2627,Travis Leslie,0,10,1.4,0.5,0.9,35.7,-,44.4,14.6,0.1
2628,Ronnie Lester,5,250,7.3,4.0,1.9,46.9,22.7,78.8,13.0,6.3
2629,Clifford Lett,1,11,3.5,0.7,0.6,43.2,0.0,66.7,3.4,-0.1
2630,Jon Leuer,7,377,6.4,0.8,3.8,48.4,32.8,76.7,14.5,13.2
2631,Andrew Levane,4,103,4.5,2.0,1.3,31.0,-1,63.3,-4.1,0.8
2632,Fat Lever,11,752,13.9,6.2,6.0,44.7,31.0,77.1,17.8,61.2
2633,Cliff Levingston,12,830,7.1,0.9,5.2,51.6,15.2,67.6,13.8,44.2
2634,Bobby Lewis,3,255,5.8,2.2,2.1,38.1,-1,71.2,9.7,1.1
2635,Cedric Lewis,0,3,1.3,0.0,0.7,66.7,-,-,62.7,0.1
2636,Freddie Lewis,1,95,8.4,1.4,-,31.2,-1,76.5,-,0.7
2637,Freddie Lewis,10,95,8.4,1.4,-,31.2,-1,76.5,-,0.7
2638,Grady Lewis,2,139,5.4,0.9,-,25.2,-1,59.5,-,4.3
2639,Kira Lewis Jr.,1,78,6.2,2.2,1.4,39.1,29.8,84.1,10.1,0.7
2640,Martin Lewis,1,25,3.6,0.3,1.4,47.3,30.0,59.3,11.2,0.1
2641,Mike Lewis,5,337,12.1,3.0,11.9,49.8,0.0,73.5,17.6,24.4
2642,Quincy Lewis,4,159,3.6,0.6,1.3,39.7,33.3,71.0,6.7,0.8
2643,Ralph Lewis,2,99,2.3,0.3,1.2,41.4,25.0,56.2,8.5,0.0
2644,Rashard Lewis,15,99,2.3,0.3,1.2,41.4,25.0,56.2,8.5,0.0
2645,Reggie Lewis,5,450,17.6,2.6,4.3,48.8,20.0,82.4,17.1,38.9
2646,Scottie Lewis,0,2,0.5,0.5,0.0,-,-,50.0,14.6,0.0
2647,Marcus Liberty,3,267,7.3,0.9,3.5,41.7,34.0,66.4,12.2,4.0
2648,Todd Lichti,4,237,7.9,1.4,2.1,46.0,24.4,78.9,12.2,5.6
2649,DeAndre Liggins,6,177,2.0,0.7,1.4,40.2,35.2,54.9,7.3,1.6
2650,Bill Ligon,0,38,3.3,0.7,0.7,38.5,-1,64.0,11.8,-0.2
2651,Goose Ligon,6,434,12.8,2.1,10.9,48.7,12.5,64.3,15.9,36.1
2652,Damian Lillard,9,711,24.6,6.6,4.2,43.7,37.3,89.3,22.2,94.1
2653,Jeremy Lin,8,480,11.6,4.3,2.8,43.3,34.2,80.9,15.3,23.5
2654,Steve Lingenfelter,1,10,1.0,0.5,1.6,71.4,-,0.0,3.1,0.0
2655,Alton Lister,16,953,6.6,1.0,6.3,51.2,11.1,59.7,12.9,36.6
2656,Nassir Little,2,138,5.8,0.7,3.4,45.5,31.7,72.7,12.0,3.4
2657,Samuel Little,0,3,1.7,0.7,0.3,50.0,0.0,100.0,10.3,0.0
2658,Gene Littles,5,450,9.0,3.0,3.3,47.6,24.0,73.8,13.5,23.4
2659,Isaiah Livers,0,19,6.4,1.1,3.0,45.6,42.2,85.7,11.1,0.7
2660,Randy Livingston,10,203,3.8,2.0,1.4,40.6,35.1,77.1,10.0,2.3
2661,Shaun Livingston,14,833,6.3,3.0,2.4,48.6,17.8,79.4,12.5,29.9
2662,Ron Livingstone,1,117,6.3,1.9,4.7,28.6,-1,69.2,-,2.4
2663,Horacio Llamas,1,28,2.1,0.2,1.3,46.9,33.3,61.1,10.0,0.0
2664,Bobby Lloyd,1,125,9.0,1.8,1.8,40.7,38.5,87.2,13.9,5.3
